customer_id,avg_transaction_amount,month_year,transaction_frequency,high_risk_transactions,risk_score,risk_level,customer_name,customer_email,customer_phone
24,6825.12,2024-08,1,1.0,1.0,Low,Carolyn Gilmore,andersonkelsey@gmail.com,(940)134-4137x57943
25,7610.93,2024-04,1,1.0,1.0,Low,Laura Smith,bmills@king-bruce.info,330.141.2897x775
27,6050.36,2023-12,1,1.0,1.0,Low,Linda Chavez,vyoung@yahoo.com,001-694-406-5074x864
28,3693.135,2024-03,1,1.0,1.0,Low,Steven Pineda,fisherelizabeth@johnson.com,205.038.3471
28,3693.135,2024-03,1,1.0,1.0,Low,Steven Pineda,fisherelizabeth@johnson.com,205.038.3471
28,3693.135,2024-07,1,1.0,1.0,Low,Steven Pineda,fisherelizabeth@johnson.com,205.038.3471
28,3693.135,2024-07,1,1.0,1.0,Low,Steven Pineda,fisherelizabeth@johnson.com,205.038.3471
29,6418.22,2024-06,1,1.0,1.0,Low,Becky Hughes DVM,stephaniewells@moon.com,(921)109-3784
30,980.92,2024-03,1,1.0,1.0,Low,Rebekah Rivers,johnsondean@yahoo.com,898.931.0412x186
31,8488.58,2024-08,1,0.0,0.2,Low,Scott Smith,melissacrawford@pierce-goodman.com,427.712.5672
33,6234.57,2024-07,1,1.0,1.0,Low,Tammy Lopez,donnapotter@gmail.com,(974)811-5648
34,8131.325000000001,2024-03,1,0.0,0.2,Low,Jessica Bowman,gtaylor@powell-acosta.com,961.331.8598x3861
34,8131.325000000001,2024-03,1,0.0,0.2,Low,Jessica Bowman,gtaylor@powell-acosta.com,961.331.8598x3861
34,8131.325000000001,2024-04,1,0.0,0.2,Low,Jessica Bowman,gtaylor@powell-acosta.com,961.331.8598x3861
34,8131.325000000001,2024-04,1,0.0,0.2,Low,Jessica Bowman,gtaylor@powell-acosta.com,961.331.8598x3861
37,2955.005,2024-02,1,1.0,1.0,Low,Jonathan Collins,bryanmichael@allen.net,480.435.0184x3398
37,2955.005,2024-02,1,1.0,1.0,Low,Jonathan Collins,bryanmichael@allen.net,480.435.0184x3398
37,2955.005,2024-04,1,1.0,1.0,Low,Jonathan Collins,bryanmichael@allen.net,480.435.0184x3398
37,2955.005,2024-04,1,1.0,1.0,Low,Jonathan Collins,bryanmichael@allen.net,480.435.0184x3398
39,6524.94,2024-08,1,0.0,0.2,Low,Charles Barnes,kellykent@horne-marshall.com,080.534.1051
40,3597.19,2023-12,1,0.0,0.2,Low,Amber Anderson,swansonsteven@stephens.com,001-637-376-3959x6216
41,6712.87,2024-07,1,0.0,0.2,Low,Tyler Gray,hroy@hotmail.com,603-317-9617x5047
44,6793.69,2024-10,1,0.0,0.2,Low,Melanie Rose,nmcgee@jones.com,697-486-6117
45,9662.49,2024-03,1,1.0,1.0,Low,Nicholas Mccarthy,lanceschmidt@yahoo.com,266.834.4084
46,1340.7150000000001,2024-06,1,1.0,1.0,Low,Jennifer Saunders,michaelalvarez@hotmail.com,584-635-6115x14261
46,1340.7150000000001,2024-06,1,1.0,1.0,Low,Jennifer Saunders,michaelalvarez@hotmail.com,584-635-6115x14261
46,1340.7150000000001,2024-10,1,1.0,1.0,Low,Jennifer Saunders,michaelalvarez@hotmail.com,584-635-6115x14261
46,1340.7150000000001,2024-10,1,1.0,1.0,Low,Jennifer Saunders,michaelalvarez@hotmail.com,584-635-6115x14261
47,3312.51,2023-12,1,1.0,1.0,Low,Sarah Lewis,tiffanycook@hotmail.com,+1-482-369-7721x52330
47,3312.51,2023-12,1,1.0,1.0,Low,Sarah Lewis,tiffanycook@hotmail.com,+1-482-369-7721x52330
47,3312.51,2024-02,1,1.0,1.0,Low,Sarah Lewis,tiffanycook@hotmail.com,+1-482-369-7721x52330
47,3312.51,2024-02,1,1.0,1.0,Low,Sarah Lewis,tiffanycook@hotmail.com,+1-482-369-7721x52330
48,4148.39,2024-04,1,1.0,1.0,Low,Nicole Bowers,bpratt@williams.com,+1-809-620-6411x3966
50,2718.1850000000004,2024-06,1,1.0,1.0,Low,Michelle Gallagher,stephanieleonard@hotmail.com,+1-258-517-5634x3192
50,2718.1850000000004,2024-06,1,1.0,1.0,Low,Michelle Gallagher,stephanieleonard@hotmail.com,+1-258-517-5634x3192
50,2718.1850000000004,2024-08,1,1.0,1.0,Low,Michelle Gallagher,stephanieleonard@hotmail.com,+1-258-517-5634x3192
50,2718.1850000000004,2024-08,1,1.0,1.0,Low,Michelle Gallagher,stephanieleonard@hotmail.com,+1-258-517-5634x3192
52,7025.51,2024-01,1,1.0,1.0,Low,Briana Johnson,gainesdiane@yahoo.com,201.730.4381x00326
53,823.07,2024-04,1,1.0,1.0,Low,Brandon Maynard,carrilloamy@obrien.biz,+1-646-674-2040x52135
54,6731.735,2024-06,1,0.0,0.2,Low,Roger Allison,ashleyjohnson@dawson.org,001-367-569-8243x395
54,6731.735,2024-06,1,0.0,0.2,Low,Roger Allison,ashleyjohnson@dawson.org,001-367-569-8243x395
54,6731.735,2024-08,1,0.0,0.2,Low,Roger Allison,ashleyjohnson@dawson.org,001-367-569-8243x395
54,6731.735,2024-08,1,0.0,0.2,Low,Roger Allison,ashleyjohnson@dawson.org,001-367-569-8243x395
56,9515.56,2024-04,1,1.0,1.0,Low,Joseph Vincent,xjohnson@alvarez.info,0602013700
57,3548.93,2024-04,1,1.0,1.0,Low,Dr. Natalie Hernandez,wpatterson@adams-davis.com,739.545.9593x2502
59,6010.86,2024-01,1,1.0,1.0,Low,Rachel Avila,jenniferward@jackson-lewis.biz,939-519-7695
60,2136.09,2024-05,1,0.0,0.2,Low,Heather Parrish,thomas84@schroeder.biz,+1-342-386-3304x1535
62,467.73,2024-06,1,0.0,0.2,Low,Stephanie Sanders,harriscristian@yahoo.com,0941153616
64,4907.27,2023-12,1,1.0,1.0,Low,Tina Farmer,stephanieryan@sanders.com,848.869.4028
66,4641.9349999999995,2024-01,1,1.0,1.0,Low,Robert Sosa,ryan60@cross-kelley.com,+1-186-636-5804x292
66,4641.9349999999995,2024-01,1,1.0,1.0,Low,Robert Sosa,ryan60@cross-kelley.com,+1-186-636-5804x292
66,4641.9349999999995,2024-09,1,1.0,1.0,Low,Robert Sosa,ryan60@cross-kelley.com,+1-186-636-5804x292
66,4641.9349999999995,2024-09,1,1.0,1.0,Low,Robert Sosa,ryan60@cross-kelley.com,+1-186-636-5804x292
67,1396.78,2024-01,1,1.0,1.0,Low,Jessica Moyer,williamsmichelle@hotmail.com,7920943978
67,1396.78,2024-01,1,1.0,1.0,Low,Jessica Moyer,williamsmichelle@hotmail.com,7920943978
67,1396.78,2024-01,1,1.0,1.0,Low,Jessica Moyer,williamsmichelle@hotmail.com,7920943978
67,1396.78,2024-05,1,1.0,1.0,Low,Jessica Moyer,williamsmichelle@hotmail.com,7920943978
67,1396.78,2024-05,1,1.0,1.0,Low,Jessica Moyer,williamsmichelle@hotmail.com,7920943978
67,1396.78,2024-05,1,1.0,1.0,Low,Jessica Moyer,williamsmichelle@hotmail.com,7920943978
67,1396.78,2024-06,1,1.0,1.0,Low,Jessica Moyer,williamsmichelle@hotmail.com,7920943978
67,1396.78,2024-06,1,1.0,1.0,Low,Jessica Moyer,williamsmichelle@hotmail.com,7920943978
67,1396.78,2024-06,1,1.0,1.0,Low,Jessica Moyer,williamsmichelle@hotmail.com,7920943978
68,3408.0699999999997,2023-12,2,1.0,1.2000000000000002,Medium,Anthony Nunez,marshalllinda@watson.com,158.837.5340x7988
68,3408.0699999999997,2023-12,2,1.0,1.2000000000000002,Medium,Anthony Nunez,marshalllinda@watson.com,158.837.5340x7988
71,9138.89,2024-04,1,1.0,1.0,Low,John Preston,cjohnson@reese.biz,+1-474-206-7156x45920
72,7216.256666666667,2024-03,2,2.0,2.0,Medium,Bradley Lewis,rosarioashley@gmail.com,(337)929-1912x197
72,7216.256666666667,2024-03,2,2.0,2.0,Medium,Bradley Lewis,rosarioashley@gmail.com,(337)929-1912x197
72,7216.256666666667,2024-03,2,2.0,2.0,Medium,Bradley Lewis,rosarioashley@gmail.com,(337)929-1912x197
72,7216.256666666667,2024-05,1,2.0,1.8,Medium,Bradley Lewis,rosarioashley@gmail.com,(337)929-1912x197
72,7216.256666666667,2024-05,1,2.0,1.8,Medium,Bradley Lewis,rosarioashley@gmail.com,(337)929-1912x197
72,7216.256666666667,2024-05,1,2.0,1.8,Medium,Bradley Lewis,rosarioashley@gmail.com,(337)929-1912x197
74,4176.01,2024-08,1,1.0,1.0,Low,Lauren Torres,katherinecook@gmail.com,9520786858
75,4078.445,2024-02,1,1.0,1.0,Low,David Lopez,payers@smith.com,459.282.6939x66995
75,4078.445,2024-02,1,1.0,1.0,Low,David Lopez,payers@smith.com,459.282.6939x66995
75,4078.445,2024-03,1,1.0,1.0,Low,David Lopez,payers@smith.com,459.282.6939x66995
75,4078.445,2024-03,1,1.0,1.0,Low,David Lopez,payers@smith.com,459.282.6939x66995
76,5108.84,2024-11,1,1.0,1.0,Low,Chelsea Bradley,brandysingleton@gmail.com,(276)546-7577
77,6801.69,2024-10,1,0.0,0.2,Low,Elizabeth Davidson,mfernandez@gmail.com,690-632-4085x9182
79,2648.34,2024-02,1,2.0,1.8,Medium,Linda Simpson,denisewiley@hotmail.com,+1-105-601-8227x5633
79,2648.34,2024-02,1,2.0,1.8,Medium,Linda Simpson,denisewiley@hotmail.com,+1-105-601-8227x5633
79,2648.34,2024-02,1,2.0,1.8,Medium,Linda Simpson,denisewiley@hotmail.com,+1-105-601-8227x5633
79,2648.34,2024-07,1,2.0,1.8,Medium,Linda Simpson,denisewiley@hotmail.com,+1-105-601-8227x5633
79,2648.34,2024-07,1,2.0,1.8,Medium,Linda Simpson,denisewiley@hotmail.com,+1-105-601-8227x5633
79,2648.34,2024-07,1,2.0,1.8,Medium,Linda Simpson,denisewiley@hotmail.com,+1-105-601-8227x5633
79,2648.34,2024-08,1,2.0,1.8,Medium,Linda Simpson,denisewiley@hotmail.com,+1-105-601-8227x5633
79,2648.34,2024-08,1,2.0,1.8,Medium,Linda Simpson,denisewiley@hotmail.com,+1-105-601-8227x5633
79,2648.34,2024-08,1,2.0,1.8,Medium,Linda Simpson,denisewiley@hotmail.com,+1-105-601-8227x5633
81,8858.98,2024-01,1,1.0,1.0,Low,Cynthia Christensen,brownrita@figueroa-miles.com,898-003-3371
81,8858.98,2024-01,1,1.0,1.0,Low,Cynthia Christensen,brownrita@figueroa-miles.com,898-003-3371
81,8858.98,2024-06,1,1.0,1.0,Low,Cynthia Christensen,brownrita@figueroa-miles.com,898-003-3371
81,8858.98,2024-06,1,1.0,1.0,Low,Cynthia Christensen,brownrita@figueroa-miles.com,898-003-3371
82,8910.06,2024-06,1,1.0,1.0,Low,Christine Lopez,krichardson@huff.com,506-498-6632
83,8267.66,2024-01,1,0.0,0.2,Low,Daniel Kim,carpenterjoseph@moss.com,(574)060-9599
85,3786.84,2024-05,1,1.0,1.0,Low,Randy Campbell,icoleman@salazar.com,838.055.2228x670
87,1529.63,2024-06,1,1.0,1.0,Low,Ann Mccann,nathan53@beard.com,174.642.3886
88,4131.0,2024-04,1,0.0,0.2,Low,Denise Pierce,ritterjoshua@hotmail.com,001-182-071-0240x829
89,2650.5866666666666,2024-02,1,1.0,1.0,Low,Christina Cross,tmarks@dalton.com,(065)368-4609x7005
89,2650.5866666666666,2024-02,1,1.0,1.0,Low,Christina Cross,tmarks@dalton.com,(065)368-4609x7005
89,2650.5866666666666,2024-02,1,1.0,1.0,Low,Christina Cross,tmarks@dalton.com,(065)368-4609x7005
89,2650.5866666666666,2024-05,1,1.0,1.0,Low,Christina Cross,tmarks@dalton.com,(065)368-4609x7005
89,2650.5866666666666,2024-05,1,1.0,1.0,Low,Christina Cross,tmarks@dalton.com,(065)368-4609x7005
89,2650.5866666666666,2024-05,1,1.0,1.0,Low,Christina Cross,tmarks@dalton.com,(065)368-4609x7005
89,2650.5866666666666,2024-07,1,1.0,1.0,Low,Christina Cross,tmarks@dalton.com,(065)368-4609x7005
89,2650.5866666666666,2024-07,1,1.0,1.0,Low,Christina Cross,tmarks@dalton.com,(065)368-4609x7005
89,2650.5866666666666,2024-07,1,1.0,1.0,Low,Christina Cross,tmarks@dalton.com,(065)368-4609x7005
93,5617.35,2024-07,1,0.0,0.2,Low,Jeff Thomas,vmorgan@gutierrez.com,698-761-5978x3303
93,5617.35,2024-07,1,0.0,0.2,Low,Jeff Thomas,vmorgan@gutierrez.com,698-761-5978x3303
93,5617.35,2024-11,1,0.0,0.2,Low,Jeff Thomas,vmorgan@gutierrez.com,698-761-5978x3303
93,5617.35,2024-11,1,0.0,0.2,Low,Jeff Thomas,vmorgan@gutierrez.com,698-761-5978x3303
94,9394.08,2024-05,1,1.0,1.0,Low,David Baker,wpowell@hotmail.com,001-499-024-6840x3844
95,4953.203333333334,2024-01,1,2.0,1.8,Medium,Amy Bates,sherryvillanueva@yahoo.com,847.738.4007
95,4953.203333333334,2024-01,1,2.0,1.8,Medium,Amy Bates,sherryvillanueva@yahoo.com,847.738.4007
95,4953.203333333334,2024-01,1,2.0,1.8,Medium,Amy Bates,sherryvillanueva@yahoo.com,847.738.4007
95,4953.203333333334,2024-02,1,2.0,1.8,Medium,Amy Bates,sherryvillanueva@yahoo.com,847.738.4007
95,4953.203333333334,2024-02,1,2.0,1.8,Medium,Amy Bates,sherryvillanueva@yahoo.com,847.738.4007
95,4953.203333333334,2024-02,1,2.0,1.8,Medium,Amy Bates,sherryvillanueva@yahoo.com,847.738.4007
95,4953.203333333334,2024-08,1,2.0,1.8,Medium,Amy Bates,sherryvillanueva@yahoo.com,847.738.4007
95,4953.203333333334,2024-08,1,2.0,1.8,Medium,Amy Bates,sherryvillanueva@yahoo.com,847.738.4007
95,4953.203333333334,2024-08,1,2.0,1.8,Medium,Amy Bates,sherryvillanueva@yahoo.com,847.738.4007
97,224.51,2024-09,1,0.0,0.2,Low,Linda Johnson,denise67@velasquez.com,599.039.3558x7563
99,2184.345,2024-04,1,1.0,1.0,Low,Bradley Scott,gabrielrodriguez@gmail.com,001-834-620-6948
99,2184.345,2024-04,1,1.0,1.0,Low,Bradley Scott,gabrielrodriguez@gmail.com,001-834-620-6948
99,2184.345,2024-08,1,1.0,1.0,Low,Bradley Scott,gabrielrodriguez@gmail.com,001-834-620-6948
99,2184.345,2024-08,1,1.0,1.0,Low,Bradley Scott,gabrielrodriguez@gmail.com,001-834-620-6948
100,5821.195,2024-02,1,1.0,1.0,Low,Christopher Holt,bkelly@carpenter.biz,+1-900-312-9702x7509
100,5821.195,2024-02,1,1.0,1.0,Low,Christopher Holt,bkelly@carpenter.biz,+1-900-312-9702x7509
100,5821.195,2024-06,1,1.0,1.0,Low,Christopher Holt,bkelly@carpenter.biz,+1-900-312-9702x7509
100,5821.195,2024-06,1,1.0,1.0,Low,Christopher Holt,bkelly@carpenter.biz,+1-900-312-9702x7509
102,3332.0099999999998,2024-04,1,2.0,1.8,Medium,Emily Whitney,robinroberson@black.com,071.733.8655x0553
102,3332.0099999999998,2024-04,1,2.0,1.8,Medium,Emily Whitney,robinroberson@black.com,071.733.8655x0553
102,3332.0099999999998,2024-09,1,2.0,1.8,Medium,Emily Whitney,robinroberson@black.com,071.733.8655x0553
102,3332.0099999999998,2024-09,1,2.0,1.8,Medium,Emily Whitney,robinroberson@black.com,071.733.8655x0553
107,3894.03,2024-01,1,1.0,1.0,Low,Anna Sutton,nharper@blake-butler.com,905-640-2514x8109
108,8619.745,2024-08,1,1.0,1.0,Low,Robert Bryant,lewisjeffrey@martin.org,931-999-7253
108,8619.745,2024-08,1,1.0,1.0,Low,Robert Bryant,lewisjeffrey@martin.org,931-999-7253
108,8619.745,2024-09,1,1.0,1.0,Low,Robert Bryant,lewisjeffrey@martin.org,931-999-7253
108,8619.745,2024-09,1,1.0,1.0,Low,Robert Bryant,lewisjeffrey@martin.org,931-999-7253
109,5939.23,2024-02,1,0.0,0.2,Low,Angela Garner,aliciawiggins@white.com,+1-294-203-0843x364
113,5553.1,2023-11,1,1.0,1.0,Low,Steven Hansen PhD,loganjessica@hotmail.com,258-710-9098x510
115,5560.055,2024-03,1,2.0,1.8,Medium,Amanda Webb,robertrowland@hotmail.com,+1-056-816-2694
115,5560.055,2024-03,1,2.0,1.8,Medium,Amanda Webb,robertrowland@hotmail.com,+1-056-816-2694
115,5560.055,2024-04,1,2.0,1.8,Medium,Amanda Webb,robertrowland@hotmail.com,+1-056-816-2694
115,5560.055,2024-04,1,2.0,1.8,Medium,Amanda Webb,robertrowland@hotmail.com,+1-056-816-2694
117,1472.6,2024-10,1,1.0,1.0,Low,Yolanda Hardy,clarktraci@yahoo.com,582.878.3040
118,9383.67,2024-07,1,0.0,0.2,Low,Amanda Walker,owelch@ruiz.com,(117)075-9410x39339
119,3845.29,2024-02,1,2.0,1.8,Medium,Joanna Johns,cheyennesmith@ortiz.info,901.185.2727x756
119,3845.29,2024-02,1,2.0,1.8,Medium,Joanna Johns,cheyennesmith@ortiz.info,901.185.2727x756
119,3845.29,2024-09,1,2.0,1.8,Medium,Joanna Johns,cheyennesmith@ortiz.info,901.185.2727x756
119,3845.29,2024-09,1,2.0,1.8,Medium,Joanna Johns,cheyennesmith@ortiz.info,901.185.2727x756
120,5988.1466666666665,2024-03,1,2.0,1.8,Medium,Melinda Rodriguez,andrewraymond@kirby.org,965.347.9719x27607
120,5988.1466666666665,2024-03,1,2.0,1.8,Medium,Melinda Rodriguez,andrewraymond@kirby.org,965.347.9719x27607
120,5988.1466666666665,2024-03,1,2.0,1.8,Medium,Melinda Rodriguez,andrewraymond@kirby.org,965.347.9719x27607
120,5988.1466666666665,2024-04,1,2.0,1.8,Medium,Melinda Rodriguez,andrewraymond@kirby.org,965.347.9719x27607
120,5988.1466666666665,2024-04,1,2.0,1.8,Medium,Melinda Rodriguez,andrewraymond@kirby.org,965.347.9719x27607
120,5988.1466666666665,2024-04,1,2.0,1.8,Medium,Melinda Rodriguez,andrewraymond@kirby.org,965.347.9719x27607
120,5988.1466666666665,2024-05,1,2.0,1.8,Medium,Melinda Rodriguez,andrewraymond@kirby.org,965.347.9719x27607
120,5988.1466666666665,2024-05,1,2.0,1.8,Medium,Melinda Rodriguez,andrewraymond@kirby.org,965.347.9719x27607
120,5988.1466666666665,2024-05,1,2.0,1.8,Medium,Melinda Rodriguez,andrewraymond@kirby.org,965.347.9719x27607
122,9387.23,2023-12,1,1.0,1.0,Low,Angel Harper,freese@yahoo.com,+1-194-805-1299x43901
126,5438.63,2024-09,1,1.0,1.0,Low,Justin Bryant,chloe09@gmail.com,001-826-146-7775x183
127,4818.65,2023-12,1,1.0,1.0,Low,Gina Rios,erictaylor@yahoo.com,+1-753-585-3701x467
127,4818.65,2023-12,1,1.0,1.0,Low,Gina Rios,erictaylor@yahoo.com,+1-753-585-3701x467
127,4818.65,2024-02,1,1.0,1.0,Low,Gina Rios,erictaylor@yahoo.com,+1-753-585-3701x467
127,4818.65,2024-02,1,1.0,1.0,Low,Gina Rios,erictaylor@yahoo.com,+1-753-585-3701x467
130,1764.97,2024-04,1,2.0,1.8,Medium,Jesse Mckinney,lindseydiana@hotmail.com,001-214-297-4716x9864
130,1764.97,2024-04,1,2.0,1.8,Medium,Jesse Mckinney,lindseydiana@hotmail.com,001-214-297-4716x9864
130,1764.97,2024-05,1,2.0,1.8,Medium,Jesse Mckinney,lindseydiana@hotmail.com,001-214-297-4716x9864
130,1764.97,2024-05,1,2.0,1.8,Medium,Jesse Mckinney,lindseydiana@hotmail.com,001-214-297-4716x9864
132,2721.97,2023-12,1,0.0,0.2,Low,Cheryl Gillespie,christopherbrown@gmail.com,+1-561-059-6376
133,1808.53,2023-11,1,0.0,0.2,Low,Anna Sanders MD,padillajesse@reed.com,+1-284-720-3398
134,3790.68,2024-01,1,0.0,0.2,Low,Michele Freeman DVM,wendymurray@hotmail.com,667-153-4934x36446
136,2750.07,2023-12,1,1.0,1.0,Low,Raven Rogers,megan99@golden.net,+1-356-141-8725x3102
136,2750.07,2023-12,1,1.0,1.0,Low,Raven Rogers,megan99@golden.net,+1-356-141-8725x3102
136,2750.07,2024-07,1,1.0,1.0,Low,Raven Rogers,megan99@golden.net,+1-356-141-8725x3102
136,2750.07,2024-07,1,1.0,1.0,Low,Raven Rogers,megan99@golden.net,+1-356-141-8725x3102
137,2230.82,2024-08,1,1.0,1.0,Low,Christopher Jackson,christopherwilliams@gmail.com,267-435-5900x6236
139,2936.7200000000003,2024-06,1,0.0,0.2,Low,Ronald Duncan,markwilliams@hotmail.com,(274)664-0924
139,2936.7200000000003,2024-06,1,0.0,0.2,Low,Ronald Duncan,markwilliams@hotmail.com,(274)664-0924
139,2936.7200000000003,2024-08,1,0.0,0.2,Low,Ronald Duncan,markwilliams@hotmail.com,(274)664-0924
