transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_region,customer_risk_level,bank_id,bank_name,bank_region,bank_compliance_score,amount,currency,transaction_date,transaction_location,is_high_risk,is_valid_bank_id,z_score,transaction_count,avg_transaction_amount,max_transaction_amount,min_transaction_amount,high_risk_flag
15,835,Thomas Holland,ellisjames@wilson.com,694-274-8450x825,East,Low,482,Bank 482,South,0.71,7263.75,USD,2024-02-04,Amychester,True,True,0.8197656626918332,3,6951.759999999999,7263.75,6633.27,True
16,659,James Juarez,hendersonstephen@herrera.info,(593)371-9942,South,Low,673,Bank 673,West,0.54,6688.2,USD,2024-08-24,Jenniferton,False,True,0.6169395388310452,1,6688.2,6688.2,6688.2,True
17,687,Anna Patterson,sarah51@yahoo.com,001-847-198-6323x0929,East,High,759,Bank 759,North,0.58,9417.45,USD,2024-04-28,South Angelastad,True,True,1.5787381637064781,2,7290.955,9417.45,5164.46,True
18,47,Sarah Lewis,tiffanycook@hotmail.com,+1-482-369-7721x52330,East,High,934,Bank 934,East,0.58,3910.84,USD,2023-12-26,South Ashley,False,True,-0.36181324262321185,2,3312.51,3910.84,2714.18,False
19,775,Melissa Obrien,wilcoxrichard@yahoo.com,750.802.7003,South,Low,573,Bank 573,East,0.71,2411.67,USD,2024-06-21,West Sheila,True,True,-0.8901267516291668,1,2411.67,2411.67,2411.67,False
20,638,Patricia Bird,rachaelweaver@hotmail.com,(333)427-2728x84806,North,Low,167,Bank 167,West,0.87,7310.24,USD,2024-02-12,Brownchester,False,True,0.836148924785983,2,4754.475,7310.24,2198.71,True
21,25,Laura Smith,bmills@king-bruce.info,330.141.2897x775,South,Low,434,Bank 434,North,0.65,7610.93,USD,2024-04-19,Port Robertstad,True,True,0.9421132844136443,1,7610.93,7610.93,7610.93,True
22,256,Ariana Prince,arobinson@yahoo.com,750.335.6613x02719,East,Medium,360,Bank 360,North,0.81,3059.82,USD,2024-05-27,West Christopher,True,True,-0.6617160971588867,1,3059.82,3059.82,3059.82,False
23,579,Tony Stokes,markjones@hart-riddle.biz,+1-737-365-9711,South,High,485,Bank 485,East,0.61,5891.62,USD,2024-02-23,Brianburgh,True,True,0.33622155821246064,2,5910.3099999999995,5929.0,5891.62,False
24,355,Katie Campbell,erichurley@yahoo.com,763.409.7236x333,North,Low,18,Bank 18,North,0.57,1707.44,USD,2024-01-28,Port Julie,False,True,-1.1383002225812693,1,1707.44,1707.44,1707.44,False
25,220,Edward Powers,joel77@hotmail.com,+1-033-769-0423x0783,West,High,715,Bank 715,West,0.79,7549.93,USD,2024-09-21,South Teresamouth,False,True,0.9206166402376247,3,6318.276666666668,8740.75,2664.15,True
26,308,Cynthia Phillips,tayloringram@moore.org,001-857-456-6411x137,East,Low,243,Bank 243,West,0.55,7711.75,USD,2024-11-18,West Philipstad,False,True,0.977642655984567,1,7711.75,7711.75,7711.75,True
27,958,Marcus Little,bennettkatie@wilson-wise.net,640.981.2151x94948,North,Low,465,Bank 465,South,0.64,875.61,USD,2024-02-18,East Ashley,True,True,-1.43144044430157,3,3982.5433333333335,9994.12,875.61,False
28,742,Thomas Wright,karinaduffy@yahoo.com,973-196-5840,West,High,686,Bank 686,East,0.67,4510.92,USD,2024-02-26,Shawland,True,True,-0.1503426485716411,2,5583.01,6655.1,4510.92,False
29,763,Brandi Meadows,travis36@smith.info,779-844-9388,South,Low,412,Bank 412,East,0.51,317.98,USD,2024-09-01,New Teresaburgh,False,True,-1.6279514884306487,3,1540.4833333333333,3580.37,317.98,False
30,87,Ann Mccann,nathan53@beard.com,174.642.3886,South,High,50,Bank 50,East,0.84,1529.63,USD,2024-06-21,Port Anthony,True,True,-1.200961178334352,1,1529.63,1529.63,1529.63,False
31,142,Billy Lee,gwagner@austin-larson.com,990-370-1257x4142,North,Medium,330,Bank 330,North,0.54,3992.58,USD,2024-04-02,Lake Rebecca,False,True,-0.33300773942734574,2,3769.74,3992.58,3546.9,False
32,982,April Gates,joshua11@martin.net,700-718-6187x4045,West,Low,561,Bank 561,North,0.76,6043.12,USD,2024-01-18,North Kathyborough,False,True,0.38961076464962396,1,6043.12,6043.12,6043.12,True
33,460,Tina Taylor,randolphdavid@hotmail.com,220-093-0996,East,Low,471,Bank 471,South,0.97,4787.91,USD,2024-06-21,North Lisabury,True,True,-0.05273026381236807,3,3872.9566666666665,6739.74,91.22,False
34,599,Stephanie Miller,nwarren@hotmail.com,241-662-2827x843,South,Low,166,Bank 166,South,0.54,8244.88,USD,2024-05-15,Lake Kim,True,True,1.165519802042949,1,8244.88,8244.88,8244.88,True
35,786,Deborah Reyes,fwood@gmail.com,863-850-9551x1306,East,High,958,Bank 958,North,0.84,9716.82,USD,2024-04-24,West Christine,True,True,1.6842373500503298,5,4612.992,9716.82,1412.78,True
36,556,Theresa Curry,meganbush@thompson-braun.com,775.108.2782,North,Medium,974,Bank 974,West,0.72,1536.46,USD,2024-10-06,Jamesshire,True,True,-1.1985542589946434,1,1536.46,1536.46,1536.46,False
37,321,Kelli Gutierrez,wklein@gmail.com,243.965.6287x4486,East,Medium,704,Bank 704,North,0.92,6578.16,USD,2024-01-16,West Jose,False,True,0.5781610023535175,1,6578.16,6578.16,6578.16,True
38,792,Mary Johnson,jeffreylopez@hotmail.com,1026591136,East,Low,534,Bank 534,West,0.6,8929.57,USD,2023-12-10,Dawnberg,False,True,1.4068072987786675,1,8929.57,8929.57,8929.57,True
39,987,Denise Maldonado,debramahoney@hotmail.com,990.690.9357,West,Medium,98,Bank 98,West,0.51,972.24,USD,2024-02-29,Rodgersport,True,True,-1.3973876455027379,3,2684.98,5040.11,972.24,False
40,68,Anthony Nunez,marshalllinda@watson.com,158.837.5340x7988,West,Medium,270,Bank 270,North,0.64,3178.73,USD,2023-12-11,East Johnview,False,True,-0.6198117371757641,2,3408.0699999999997,3637.41,3178.73,False
41,255,Cody Baker,cle@hotmail.com,001-433-145-4320x449,West,Low,153,Bank 153,West,0.65,6382.82,USD,2024-03-01,Lake Dianaton,True,True,0.5093224044298509,1,6382.82,6382.82,6382.82,True
42,876,April Reed,panderson@greer-ryan.biz,+1-422-046-0509x7120,East,High,744,Bank 744,North,0.75,7334.72,USD,2023-12-16,Lake Kennethland,True,True,0.8447757747766219,2,5214.775,7334.72,3094.83,True
43,706,Diana Torres,kaylamorgan@hotmail.com,+1-532-140-3266x815,South,Low,51,Bank 51,West,0.76,4871.09,USD,2024-06-30,Littleview,True,True,-0.023417298852346537,2,5839.855,6808.62,4871.09,False
44,358,Eric Ramos,oporter@glass.org,(867)651-9355,North,Low,465,Bank 465,South,0.64,103.07,USD,2023-11-24,West Christina,False,True,-1.7036866326907858,1,103.07,103.07,103.07,False
45,719,Lawrence Warner,michaelelliott@jenkins.com,001-756-921-6262,West,Low,308,Bank 308,West,0.99,2346.95,USD,2023-11-24,Sawyerhaven,True,True,-0.9129343386959207,2,2498.005,2649.06,2346.95,False
46,886,Katherine Hoover,franceskim@powers.com,+1-369-603-2989x98433,South,High,803,Bank 803,South,0.82,2446.46,USD,2024-09-09,Tracyburgh,False,True,-0.8778666163687778,3,3150.5,6704.43,300.61,False
47,998,Ashley Martin,mshepard@meyer.com,(012)837-0964,North,Low,626,Bank 626,North,0.93,6332.92,USD,2024-11-01,Jacobside,False,True,0.4917374446858612,1,6332.92,6332.92,6332.92,True
48,453,Patrick Hendricks,fbryant@yahoo.com,533-537-0628x4353,South,Medium,10,Hill-Thomas,West,0.69,5942.18,USD,2024-05-03,Masonville,False,True,0.354039104598355,2,5728.05,5942.18,5513.92,False
49,817,Evan Campbell,tfuentes@yahoo.com,001-873-246-3514x4373,West,Low,869,Bank 869,East,0.82,5989.25,USD,2024-08-05,Port Dawnmouth,True,True,0.3706267610141785,3,3372.75,5989.25,2050.93,False
50,830,Christopher Brown,melanie82@gmail.com,001-883-866-4462x35786,South,Medium,232,Bank 232,East,0.53,4156.85,USD,2024-10-03,West Hectorside,True,True,-0.2751183338733335,2,3837.07,4156.85,3517.29,False
51,185,Ashley Bauer,thompsonjavier@hotmail.com,(758)332-2033x3651,North,High,501,Bank 501,North,0.95,5131.22,USD,2024-01-31,North Brittneychester,False,True,0.06825355441827594,2,3171.245,5131.22,1211.27,False
52,513,Dawn Stevens,jenniferknight@boyd.com,194.917.5754,North,Medium,363,Bank 363,East,0.63,2767.09,USD,2024-03-17,Port Lisa,True,True,-0.7648753209235787,3,3486.0933333333337,4342.14,2767.09,False
53,147,Amanda Gill,duanesims@hotmail.com,(232)546-8603x5483,South,Low,988,Bank 988,North,0.97,9322.58,USD,2023-12-12,Lake Ronaldbury,True,True,1.5453055959527242,1,9322.58,9322.58,9322.58,True
54,28,Steven Pineda,fisherelizabeth@johnson.com,205.038.3471,West,Low,707,Bank 707,North,0.81,375.34,USD,2024-03-11,Crossside,True,True,-1.6077375948251325,2,3693.135,7010.93,375.34,False
55,786,Deborah Reyes,fwood@gmail.com,863-850-9551x1306,East,High,885,Bank 885,North,0.7,2108.26,USD,2024-10-25,Hillland,True,True,-0.9970496501446764,5,4612.992,9716.82,1412.78,False
56,878,John Fisher,christina28@walker.com,320-294-2230,North,Medium,530,Bank 530,East,0.5,4374.64,USD,2024-10-08,South Troyview,False,True,-0.198368266084886,2,5062.615,5750.59,4374.64,False
57,169,Nathan Velasquez,johnhernandez@yahoo.com,(365)392-7782,East,Medium,629,Bank 629,West,0.64,7767.43,USD,2024-11-19,West John,True,True,0.9972645108652355,3,4259.863333333334,7767.43,1995.04,True
58,853,Stephanie Coleman,fritzchristopher@olson-thompson.com,925-578-7080x9487,South,Low,487,Bank 487,North,0.8,297.33,USD,2024-03-19,North Brian,True,True,-1.6352286310902355,2,3473.45,6649.57,297.33,False
59,323,John Crane,christina89@davenport-trevino.org,+1-612-619-6463x53764,South,Medium,147,Bank 147,West,0.59,4873.85,USD,2024-10-08,South Charles,True,True,-0.022444663804382294,2,5541.02,6208.19,4873.85,False
60,381,Amanda Newman,gloriakelly@jenkins.biz,595-156-5789,East,Low,1002,Bank 1002,West,0.79,1108.76,USD,2024-02-24,Sherrymouth,False,True,-1.3492774510288001,3,3808.1733333333336,9583.48,732.28,False
61,806,Brandon Schultz,ljohnson@mcdaniel-jones.biz,+1-119-152-4635x324,North,High,866,Bank 866,North,0.64,1686.19,USD,2024-10-08,Karenshire,True,True,-1.1457888076425875,2,1438.1,1686.19,1190.01,False
62,79,Linda Simpson,denisewiley@hotmail.com,+1-105-601-8227x5633,North,Medium,537,Bank 537,North,0.55,1885.15,USD,2024-08-16,New Jack,True,True,-1.0756745072284752,3,2648.34,3956.41,1885.15,False
63,996,Chad Lambert,fhill@lopez.com,001-982-020-4418x12135,West,Medium,749,Bank 749,North,0.85,6192.07,USD,2024-11-19,New Jesse,False,True,0.44210134087942904,2,6755.145,7318.22,6192.07,True
64,937,Melissa Smith,ashleygreen@hotmail.com,(628)568-6799,West,Low,912,Bank 912,South,0.81,270.54,USD,2024-06-11,Port Ian,False,True,-1.64466953432754,2,2345.125,4419.71,270.54,False
65,833,Helen Williams,margaretwiley@gmail.com,441-840-1444,North,High,261,Bank 261,North,0.99,8205.8,USD,2024-10-05,West Eric,False,True,1.1517478536101808,2,4986.415,8205.8,1767.03,True
66,750,Melinda Pope,deborah66@hotmail.com,+1-603-989-2631x59960,East,Medium,880,Bank 880,West,0.96,9815.99,USD,2023-12-20,East Diana,True,True,1.7191852550164914,1,9815.99,9815.99,9815.99,True
67,369,Lauren Johnson,jonathan82@anderson.com,001-394-298-2562x474,West,Low,868,Bank 868,West,0.72,179.78,USD,2024-07-10,South Richard,False,True,-1.6766537216294342,3,4875.16,9988.13,179.78,False
68,292,Richard Lewis,fmorris@williams.com,+1-877-776-2712,West,High,240,Bank 240,East,0.73,6766.39,USD,2024-08-11,Port Stephenland,True,True,0.6444940078166679,1,6766.39,6766.39,6766.39,True
69,423,Joshua Ortiz,saraholmes@hernandez-moran.com,5400975139,South,Medium,582,Bank 582,South,0.68,2330.49,USD,2024-08-08,Coxshire,True,True,-0.9187349085834171,3,4648.446666666667,7153.5,2330.49,False
70,387,Ashley Dean,ericsandoval@robbins.biz,(039)978-6066,West,Medium,243,Bank 243,West,0.55,7462.16,USD,2024-09-09,Leborough,False,True,0.8896861409043584,3,5708.38,7653.14,2009.84,True
71,290,Cory Thomas,aprilgonzalez@farmer.org,(332)866-8089x1070,North,Low,703,Bank 703,West,0.78,6512.11,USD,2024-06-23,Johnfort,False,True,0.5548847179629258,2,3803.95,6512.11,1095.79,True
72,107,Anna Sutton,nharper@blake-butler.com,905-640-2514x8109,East,Low,794,Bank 794,South,0.79,3894.03,USD,2024-01-07,Silvaside,True,True,-0.3677371539117182,1,3894.03,3894.03,3894.03,False
73,350,Linda Taylor,janetzimmerman@tran-crawford.com,238.818.2957,North,Low,431,Bank 431,North,0.68,3514.6,USD,2024-02-21,Alanstad,False,True,-0.5014498047265888,3,6235.580000000001,9190.51,3514.6,False
74,613,Katelyn Farrell,glenn65@robertson.net,288.611.4309x06124,East,Low,953,Bank 953,East,0.91,9265.02,USD,2023-12-19,New Courtney,True,True,1.5250212215466312,1,9265.02,9265.02,9265.02,True
75,268,Ryan Fox,brandy59@scott-west.com,(881)095-3994x808,South,High,316,Bank 316,South,0.57,6210.56,USD,2023-12-14,Port Shane,False,True,0.4486172908927834,4,6178.97,8579.15,1806.41,True
76,319,Shelia Carroll,thomasnathan@smith-olson.biz,(393)619-9850x4376,North,High,330,Bank 330,North,0.54,7633.46,USD,2024-02-10,New Nicholas,True,True,0.950052946598656,2,7068.525,7633.46,6503.59,True
77,642,Kristen Rollins,thomaschristensen@hotmail.com,+1-198-675-8726x17547,North,Low,606,Bank 606,East,0.62,357.36,USD,2024-05-10,Christinaton,True,True,-1.6140738187970152,1,357.36,357.36,357.36,False
78,678,Karen Roberson,isaiah71@mccall.biz,688-884-9784x656,East,Low,301,Bank 301,South,0.93,204.06,USD,2024-08-10,Carpenterland,True,True,-1.6680973524393723,1,204.06,204.06,204.06,False
79,800,Benjamin Reyes,lopezshawn@gmail.com,1378525992,East,Medium,92,Bank 92,North,0.75,7900.33,USD,2024-01-12,Tracybury,False,True,1.0440990028487271,2,6952.385,7900.33,6004.44,True
80,857,Jeffrey Anderson,rbrandt@gmail.com,717.082.7313,West,Medium,578,Bank 578,South,0.53,862.82,USD,2024-06-07,Jeffreyburgh,False,True,-1.4359476914984766,3,1722.0866666666668,2708.88,862.82,False
81,819,Ronald Cortez,natalie07@gmail.com,321-060-7698x36094,East,Low,947,Bank 947,South,0.66,8982.05,USD,2024-04-29,Lake Shawnfort,False,True,1.425301460850102,2,5957.41,8982.05,2932.77,True
82,643,Shannon Ramirez,makaylapoole@rose-weber.com,430-877-2584,South,Medium,781,Bank 781,North,0.79,4822.18,USD,2024-09-18,Port Nancy,True,True,-0.040653378633479544,1,4822.18,4822.18,4822.18,False
83,9,James Lopez,bethroberts@rojas.biz,011.287.5137x958,East,Medium,537,Bank 537,North,0.55,5831.24,USD,2024-08-02,Baileyport,True,True,0.3149434045182301,3,4593.856666666667,7909.91,40.42,False
84,712,Jaime Shepard,kimmichael@yahoo.com,123-516-4935x333,North,Medium,383,Bank 383,West,0.77,5724.24,USD,2024-03-08,Ianstad,False,True,0.2772361762094745,2,6905.41,8086.58,5724.24,False
85,685,Mark Schultz,sheila23@brown.com,(246)971-1990,West,High,90,Bank 90,South,0.66,6794.99,USD,2024-02-16,West Anthony,False,True,0.6545727622991949,1,6794.99,6794.99,6794.99,True
86,431,Sandra Mathis,christopher01@goodwin.com,840-677-4947x633,South,Medium,101,Bank 101,West,1.0,5795.6,USD,2024-02-19,Colleenburgh,False,True,0.3023837258553887,3,4794.53,6655.74,1932.25,False
87,715,Melissa Murray,jenniferroberts@gmail.com,+1-086-269-9513x512,West,Low,766,Bank 766,East,0.67,4835.44,USD,2024-05-12,Davidhaven,True,True,-0.035980501555217176,3,4707.13,8229.96,1055.99,False
88,966,Christopher Palmer,beltranjacqueline@gregory.com,616-296-2994,North,Low,52,Bank 52,North,0.79,8320.39,USD,2024-01-15,North Sheila,True,True,1.1921298283008381,3,7374.84,9529.77,4274.36,True
89,161,Timothy Moore,brownlori@hotmail.com,612.990.5106x5110,South,Medium,381,Bank 381,North,0.66,7020.76,USD,2024-08-02,Port Brent,True,True,0.7341350140306694,1,7020.76,7020.76,7020.76,True
90,193,Manuel Chang,heatherjohnson@hotmail.com,526-184-6970,North,Low,803,Bank 803,South,0.82,625.95,USD,2024-07-21,Wrightmouth,False,True,-1.5194216276619807,1,625.95,625.95,625.95,False
91,152,Robert Jackson,hensonmaureen@hotmail.com,283.275.7029,North,High,739,Bank 739,East,0.77,582.94,USD,2024-08-19,Youngville,False,True,-1.5345785238260887,1,582.94,582.94,582.94,False
92,438,Robert Lowe,brookefritz@hotmail.com,(973)178-0261x2063,South,High,985,Bank 985,South,0.91,2511.98,USD,2024-07-31,West Jamesside,False,True,-0.8547771060997156,1,2511.98,2511.98,2511.98,False
93,955,Rachel Bell,samuelhurley@york-serrano.com,(225)425-4053,South,Low,201,Bank 201,South,0.95,3331.77,USD,2024-11-19,Garzafurt,True,True,-0.565879828574157,4,2840.8175,5367.5,1191.51,False
94,493,Michelle Rivera,justin61@yahoo.com,(705)603-7481,South,Medium,872,Bank 872,West,0.93,7730.8,USD,2024-09-17,Foxmouth,False,True,0.9843559522395371,3,4300.946666666667,7730.8,2559.75,True
95,252,Sarah Odom,zandrews@hotmail.com,+1-209-288-6101x1602,West,Medium,519,Bank 519,East,0.82,5938.74,USD,2024-01-23,North Kristen,True,True,0.3528268348284285,4,4382.2225,6815.88,2115.49,False
96,611,Sharon Crawford,brittney14@avila.com,(162)737-7482x4087,East,Low,812,Bank 812,South,0.94,6738.35,USD,2024-10-28,Julianbury,True,True,0.6346125995757566,4,4004.4425,6738.35,567.52,True
97,67,Jessica Moyer,williamsmichelle@hotmail.com,7920943978,South,Medium,560,Bank 560,South,0.81,2719.25,USD,2024-01-23,Waltersshire,False,True,-0.7817343284216242,3,1396.78,2719.25,157.37,False
98,239,Karen Rice,katrina77@hotmail.com,(229)152-0653,West,Medium,760,Bank 760,East,0.71,2630.61,USD,2024-05-26,Lawrencemouth,True,True,-0.8129714192374008,1,2630.61,2630.61,2630.61,False
99,34,Jessica Bowman,gtaylor@powell-acosta.com,961.331.8598x3861,South,High,355,Bank 355,East,0.99,9074.28,USD,2024-04-14,Samuelton,False,True,1.4578036820362383,2,8131.325000000001,9074.28,7188.37,True
100,552,Jerry Martinez,rosedaniel@yahoo.com,+1-359-276-8890x678,East,High,697,Bank 697,North,0.61,9805.83,USD,2023-12-04,Harrisontown,False,True,1.7156048303471743,1,9805.83,9805.83,9805.83,True
101,150,Benjamin Robinson DVM,howardmichael@gmail.com,001-163-971-2739,East,Medium,793,Bank 793,South,0.82,9183.25,USD,2024-02-25,South Alexa,True,True,1.4962051462306782,1,9183.25,9183.25,9183.25,True
102,85,Randy Campbell,icoleman@salazar.com,838.055.2228x670,East,Low,950,Bank 950,East,0.52,3786.84,USD,2024-05-01,Port Clinton,True,True,-0.4055113389810221,1,3786.84,3786.84,3786.84,False
103,437,Scott Johnson,fjohnson@allen-dillon.com,511.765.2123x0420,South,Low,520,Bank 520,West,0.82,4144.91,USD,2024-08-30,East James,False,True,-0.27932603766778735,2,4668.635,5192.36,4144.91,False
104,793,Nathan Hernandez,armstrongadam@fitzgerald.biz,+1-780-433-2899,East,Low,804,Bank 804,South,0.67,8028.85,USD,2023-12-01,Sarahport,False,True,1.0893899652995802,2,4932.535,8028.85,1836.22,True
105,115,Amanda Webb,robertrowland@hotmail.com,+1-056-816-2694,West,High,356,Bank 356,North,0.9,2313.52,USD,2024-04-05,East Marcborough,True,True,-0.9247152045123851,2,5560.055,8806.59,2313.52,False
106,173,Debbie Clay,kimberly14@hotmail.com,+1-923-877-2404x8801,North,High,750,Bank 750,South,0.63,9735.81,USD,2023-11-23,Solischester,False,True,1.6909295020651267,1,9735.81,9735.81,9735.81,True
107,939,Kevin Hudson,malonepatricia@duke-austin.info,760.114.1785x14731,East,Low,622,Bank 622,West,0.92,520.42,USD,2024-11-19,Morganville,True,True,-1.5566108220864945,1,520.42,520.42,520.42,False
108,669,Sheri Schwartz,riosdiana@yahoo.com,1003995422,South,Low,113,Bank 113,North,0.73,3150.06,USD,2024-11-14,New Timothy,True,True,-0.6299151599384932,2,2989.0,3150.06,2827.94,False
109,545,Kimberly Moore,robertlynch@rodriguez.net,(375)939-4250,East,Low,388,Bank 388,East,0.95,2273.83,USD,2024-07-09,Christopherhaven,True,True,-0.9387021193869133,1,2273.83,2273.83,2273.83,False
110,622,Melissa May,zachary10@yahoo.com,(194)791-9272x5161,East,High,497,Bank 497,North,0.65,3261.11,USD,2024-09-21,Port Jessicaville,False,True,-0.590780695418051,1,3261.11,3261.11,3261.11,False
111,636,Brian Jones,mortonsarah@oliver.net,072-052-5293x20496,South,High,93,Bank 93,North,0.79,8907.32,USD,2024-03-04,New Mary,False,True,1.3989663097144638,1,8907.32,8907.32,8907.32,True
112,175,Anthony Gonzales,alvarezcheryl@bailey.com,897.398.0669x289,South,Low,715,Bank 715,West,0.79,2991.98,USD,2024-01-31,Jimenezchester,False,True,-0.6856231847146436,3,2710.7233333333334,4553.08,587.11,False
113,503,Charles Willis,whitneylewis@allen.com,(362)423-2679x0834,South,High,849,Bank 849,West,0.8,6850.81,USD,2024-06-16,Danielmouth,True,True,0.6742439537402675,2,5411.17,6850.81,3971.53,True
114,645,Kristen Sanchez,gregorymiller@gmail.com,001-464-102-9163x775,West,Low,924,Bank 924,South,0.59,7054.76,USD,2023-11-26,Salazarfort,False,True,0.7461167501287786,1,7054.76,7054.76,7054.76,True
115,547,Joshua Alvarado,sara18@faulkner-williams.com,558.072.5045,South,High,802,Bank 802,East,0.72,1138.43,USD,2024-04-09,Morrisstad,False,True,-1.3388216242631854,1,1138.43,1138.43,1138.43,False
116,916,Melissa Wagner,susan58@yahoo.com,028-846-2338x80491,West,Low,749,Bank 749,North,0.85,4305.09,USD,2024-09-04,Ryanberg,True,True,-0.22287796448557723,2,4566.025,4826.96,4305.09,False
117,271,Valerie Robinson,christopher68@garcia-hoffman.com,342.734.6522x461,East,Low,919,Bank 919,West,0.84,6545.82,USD,2024-01-15,South Vanessa,False,True,0.5667642569001983,2,8220.720000000001,9895.62,6545.82,True
118,665,Michael Cummings,djimenez@gmail.com,0816088981,North,Medium,255,Bank 255,East,0.99,3322.32,USD,2023-12-23,West William,False,True,-0.5692100464014255,2,5668.225,8014.13,3322.32,False
119,978,Jeremy Hays,travis87@taylor-white.com,223.942.1745,North,Medium,675,Bank 675,North,0.97,5689.5,USD,2024-05-06,West Christine,True,True,0.26499366114922995,1,5689.5,5689.5,5689.5,False
120,11,Christopher Palmer,kendra27@walker-knight.org,001-730-710-7452x072,East,Low,502,Bank 502,East,0.66,5631.9,USD,2024-10-11,South Derek,False,True,0.2446951905830212,1,5631.9,5631.9,5631.9,False
121,343,Christopher Anderson,adamwarren@jones.com,+1-574-674-3982,North,Medium,1003,Bank 1003,West,0.59,903.03,USD,2024-11-07,Mariamouth,False,True,-1.421777526542448,5,5491.6,8419.59,903.03,False
122,196,Cristina Goodwin,sethwalker@hotmail.com,765.212.0001,North,High,684,Bank 684,West,0.62,9020.73,USD,2024-11-04,Pamelamouth,True,True,1.4389324476817158,3,5620.5233333333335,9020.73,2377.28,True
123,54,Roger Allison,ashleyjohnson@dawson.org,001-367-569-8243x395,South,High,990,Bank 990,North,1.0,6669.07,USD,2024-06-12,North Robert,False,True,0.6101980502558443,2,6731.735,6794.4,6669.07,True
124,268,Ryan Fox,brandy59@scott-west.com,(881)095-3994x808,South,High,254,Bank 254,South,0.75,8579.15,USD,2024-08-25,West Amandaborough,False,True,1.2833178880875074,4,6178.97,8579.15,1806.41,True
125,952,Michael Velez,zross@smith.com,(261)284-3089x8419,North,Low,605,Bank 605,East,0.74,663.35,USD,2024-03-15,West Benjaminside,True,True,-1.5062417179540604,1,663.35,663.35,663.35,False
126,314,Lisa Colon,lvaldez@hotmail.com,0798857202,West,Low,775,Bank 775,South,0.93,4543.01,USD,2023-12-03,New Cristinafurt,False,True,-0.13903400411904318,2,7113.415,9683.82,4543.01,False
