transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_region,customer_risk_level,bank_id,bank_name,bank_region,bank_compliance_score,amount,currency,transaction_date,transaction_location,is_high_risk,is_valid_bank_id
19,775,"Melissa Obrien",wilcoxrichard@yahoo.com,750.802.7003,South,Low,573,"Bank 573",East,0.71,2411.67,USD,2024-06-21,"West Sheila",1,1
20,638,"Patricia Bird",rachaelweaver@hotmail.com,(333)427-2728x84806,North,Low,167,"Bank 167",West,0.87,7310.24,USD,2024-02-12,Brownchester,0,1
21,25,"Laura Smith",bmills@king-bruce.info,330.141.2897x775,South,Low,434,"Bank 434",North,0.65,7610.93,USD,2024-04-19,"Port Robertstad",1,1
22,256,"Ariana Prince",arobinson@yahoo.com,750.335.6613x02719,East,Medium,360,"Bank 360",North,0.81,3059.82,USD,2024-05-27,"West Christopher",1,1
23,579,"Tony Stokes",markjones@hart-riddle.biz,+1-737-365-9711,South,High,485,"Bank 485",East,0.61,5891.62,USD,2024-02-23,Brianburgh,1,1
24,355,"Katie Campbell",erichurley@yahoo.com,763.409.7236x333,North,Low,18,"Bank 18",North,0.57,1707.44,USD,2024-01-28,"Port Julie",0,1
25,220,"Edward Powers",joel77@hotmail.com,+1-033-769-0423x0783,West,High,715,"Bank 715",West,0.79,7549.93,USD,2024-09-21,"South Teresamouth",0,1
26,308,"Cynthia Phillips",tayloringram@moore.org,001-857-456-6411x137,East,Low,243,"Bank 243",West,0.55,7711.75,USD,2024-11-18,"West Philipstad",0,1
27,958,"Marcus Little",bennettkatie@wilson-wise.net,640.981.2151x94948,North,Low,465,"Bank 465",South,0.64,875.61,USD,2024-02-18,"East Ashley",1,1
28,742,"Thomas Wright",karinaduffy@yahoo.com,973-196-5840,West,High,686,"Bank 686",East,0.67,4510.92,USD,2024-02-26,Shawland,1,1
29,763,"Brandi Meadows",travis36@smith.info,779-844-9388,South,Low,412,"Bank 412",East,0.51,317.98,USD,2024-09-01,"New Teresaburgh",0,1
30,87,"Ann Mccann",nathan53@beard.com,174.642.3886,South,High,50,"Bank 50",East,0.84,1529.63,USD,2024-06-21,"Port Anthony",1,1
31,142,"Billy Lee",gwagner@austin-larson.com,990-370-1257x4142,North,Medium,330,"Bank 330",North,0.54,3992.58,USD,2024-04-02,"Lake Rebecca",0,1
32,982,"April Gates",joshua11@martin.net,700-718-6187x4045,West,Low,561,"Bank 561",North,0.76,6043.12,USD,2024-01-18,"North Kathyborough",0,1
33,460,"Tina Taylor",randolphdavid@hotmail.com,220-093-0996,East,Low,471,"Bank 471",South,0.97,4787.91,USD,2024-06-21,"North Lisabury",1,1
34,599,"Stephanie Miller",nwarren@hotmail.com,241-662-2827x843,South,Low,166,"Bank 166",South,0.54,8244.88,USD,2024-05-15,"Lake Kim",1,1
35,786,"Deborah Reyes",fwood@gmail.com,863-850-9551x1306,East,High,958,"Bank 958",North,0.84,9716.82,USD,2024-04-24,"West Christine",1,1
36,556,"Theresa Curry",meganbush@thompson-braun.com,775.108.2782,North,Medium,974,"Bank 974",West,0.72,1536.46,USD,2024-10-06,Jamesshire,1,1
37,321,"Kelli Gutierrez",wklein@gmail.com,243.965.6287x4486,East,Medium,704,"Bank 704",North,0.92,6578.16,USD,2024-01-16,"West Jose",0,1
38,792,"Mary Johnson",jeffreylopez@hotmail.com,1026591136,East,Low,534,"Bank 534",West,0.6,8929.57,USD,2023-12-10,Dawnberg,0,1
39,987,"Denise Maldonado",debramahoney@hotmail.com,990.690.9357,West,Medium,98,"Bank 98",West,0.51,972.24,USD,2024-02-29,Rodgersport,1,1
40,68,"Anthony Nunez",marshalllinda@watson.com,158.837.5340x7988,West,Medium,270,"Bank 270",North,0.64,3178.73,USD,2023-12-11,"East Johnview",0,1
41,255,"Cody Baker",cle@hotmail.com,001-433-145-4320x449,West,Low,153,"Bank 153",West,0.65,6382.82,USD,2024-03-01,"Lake Dianaton",1,1
42,876,"April Reed",panderson@greer-ryan.biz,+1-422-046-0509x7120,East,High,744,"Bank 744",North,0.75,7334.72,USD,2023-12-16,"Lake Kennethland",1,1
43,706,"Diana Torres",kaylamorgan@hotmail.com,+1-532-140-3266x815,South,Low,51,"Bank 51",West,0.76,4871.09,USD,2024-06-30,Littleview,1,1
44,358,"Eric Ramos",oporter@glass.org,(867)651-9355,North,Low,465,"Bank 465",South,0.64,103.07,USD,2023-11-24,"West Christina",0,1
45,719,"Lawrence Warner",michaelelliott@jenkins.com,001-756-921-6262,West,Low,308,"Bank 308",West,0.99,2346.95,USD,2023-11-24,Sawyerhaven,1,1
46,886,"Katherine Hoover",franceskim@powers.com,+1-369-603-2989x98433,South,High,803,"Bank 803",South,0.82,2446.46,USD,2024-09-09,Tracyburgh,0,1
47,998,"Ashley Martin",mshepard@meyer.com,(012)837-0964,North,Low,626,"Bank 626",North,0.93,6332.92,USD,2024-11-01,Jacobside,0,1
48,453,"Patrick Hendricks",fbryant@yahoo.com,533-537-0628x4353,South,Medium,10,Hill-Thomas,West,0.69,5942.18,USD,2024-05-03,Masonville,0,1
49,817,"Evan Campbell",tfuentes@yahoo.com,001-873-246-3514x4373,West,Low,869,"Bank 869",East,0.82,5989.25,USD,2024-08-05,"Port Dawnmouth",1,1
50,830,"Christopher Brown",melanie82@gmail.com,001-883-866-4462x35786,South,Medium,232,"Bank 232",East,0.53,4156.85,USD,2024-10-03,"West Hectorside",1,1
51,185,"Ashley Bauer",thompsonjavier@hotmail.com,(758)332-2033x3651,North,High,501,"Bank 501",North,0.95,5131.22,USD,2024-01-31,"North Brittneychester",0,1
52,513,"Dawn Stevens",jenniferknight@boyd.com,194.917.5754,North,Medium,363,"Bank 363",East,0.63,2767.09,USD,2024-03-17,"Port Lisa",1,1
53,147,"Amanda Gill",duanesims@hotmail.com,(232)546-8603x5483,South,Low,988,"Bank 988",North,0.97,9322.58,USD,2023-12-12,"Lake Ronaldbury",1,1
54,28,"Steven Pineda",fisherelizabeth@johnson.com,205.038.3471,West,Low,707,"Bank 707",North,0.81,375.34,USD,2024-03-11,Crossside,1,1
55,786,"Deborah Reyes",fwood@gmail.com,863-850-9551x1306,East,High,885,"Bank 885",North,0.7,2108.26,USD,2024-10-25,Hillland,1,1
56,878,"John Fisher",christina28@walker.com,320-294-2230,North,Medium,530,"Bank 530",East,0.5,4374.64,USD,2024-10-08,"South Troyview",0,1
57,169,"Nathan Velasquez",johnhernandez@yahoo.com,(365)392-7782,East,Medium,629,"Bank 629",West,0.64,7767.43,USD,2024-11-19,"West John",1,1
58,853,"Stephanie Coleman",fritzchristopher@olson-thompson.com,925-578-7080x9487,South,Low,487,"Bank 487",North,0.8,297.33,USD,2024-03-19,"North Brian",1,1
59,323,"John Crane",christina89@davenport-trevino.org,+1-612-619-6463x53764,South,Medium,147,"Bank 147",West,0.59,4873.85,USD,2024-10-08,"South Charles",1,1
60,381,"Amanda Newman",gloriakelly@jenkins.biz,595-156-5789,East,Low,1002,"Bank 1002",West,0.79,1108.76,USD,2024-02-24,Sherrymouth,0,1
61,806,"Brandon Schultz",ljohnson@mcdaniel-jones.biz,+1-119-152-4635x324,North,High,866,"Bank 866",North,0.64,1686.19,USD,2024-10-08,Karenshire,1,1
62,79,"Linda Simpson",denisewiley@hotmail.com,+1-105-601-8227x5633,North,Medium,537,"Bank 537",North,0.55,1885.15,USD,2024-08-16,"New Jack",1,1
63,996,"Chad Lambert",fhill@lopez.com,001-982-020-4418x12135,West,Medium,749,"Bank 749",North,0.85,6192.07,USD,2024-11-19,"New Jesse",0,1
64,937,"Melissa Smith",ashleygreen@hotmail.com,(628)568-6799,West,Low,912,"Bank 912",South,0.81,270.54,USD,2024-06-11,"Port Ian",0,1
65,833,"Helen Williams",margaretwiley@gmail.com,441-840-1444,North,High,261,"Bank 261",North,0.99,8205.80,USD,2024-10-05,"West Eric",0,1
66,750,"Melinda Pope",deborah66@hotmail.com,+1-603-989-2631x59960,East,Medium,880,"Bank 880",West,0.96,9815.99,USD,2023-12-20,"East Diana",1,1
67,369,"Lauren Johnson",jonathan82@anderson.com,001-394-298-2562x474,West,Low,868,"Bank 868",West,0.72,179.78,USD,2024-07-10,"South Richard",0,1
68,292,"Richard Lewis",fmorris@williams.com,+1-877-776-2712,West,High,240,"Bank 240",East,0.73,6766.39,USD,2024-08-11,"Port Stephenland",1,1
69,423,"Joshua Ortiz",saraholmes@hernandez-moran.com,5400975139,South,Medium,582,"Bank 582",South,0.68,2330.49,USD,2024-08-08,Coxshire,1,1
70,387,"Ashley Dean",ericsandoval@robbins.biz,(039)978-6066,West,Medium,243,"Bank 243",West,0.55,7462.16,USD,2024-09-09,Leborough,0,1
71,290,"Cory Thomas",aprilgonzalez@farmer.org,(332)866-8089x1070,North,Low,703,"Bank 703",West,0.78,6512.11,USD,2024-06-23,Johnfort,0,1
72,107,"Anna Sutton",nharper@blake-butler.com,905-640-2514x8109,East,Low,794,"Bank 794",South,0.79,3894.03,USD,2024-01-07,Silvaside,1,1
73,350,"Linda Taylor",janetzimmerman@tran-crawford.com,238.818.2957,North,Low,431,"Bank 431",North,0.68,3514.60,USD,2024-02-21,Alanstad,0,1
74,613,"Katelyn Farrell",glenn65@robertson.net,288.611.4309x06124,East,Low,953,"Bank 953",East,0.91,9265.02,USD,2023-12-19,"New Courtney",1,1
75,268,"Ryan Fox",brandy59@scott-west.com,(881)095-3994x808,South,High,316,"Bank 316",South,0.57,6210.56,USD,2023-12-14,"Port Shane",0,1
76,319,"Shelia Carroll",thomasnathan@smith-olson.biz,(393)619-9850x4376,North,High,330,"Bank 330",North,0.54,7633.46,USD,2024-02-10,"New Nicholas",1,1
77,642,"Kristen Rollins",thomaschristensen@hotmail.com,+1-198-675-8726x17547,North,Low,606,"Bank 606",East,0.62,357.36,USD,2024-05-10,Christinaton,1,1
78,678,"Karen Roberson",isaiah71@mccall.biz,688-884-9784x656,East,Low,301,"Bank 301",South,0.93,204.06,USD,2024-08-10,Carpenterland,1,1
79,800,"Benjamin Reyes",lopezshawn@gmail.com,1378525992,East,Medium,92,"Bank 92",North,0.75,7900.33,USD,2024-01-12,Tracybury,0,1
80,857,"Jeffrey Anderson",rbrandt@gmail.com,717.082.7313,West,Medium,578,"Bank 578",South,0.53,862.82,USD,2024-06-07,Jeffreyburgh,0,1
81,819,"Ronald Cortez",natalie07@gmail.com,321-060-7698x36094,East,Low,947,"Bank 947",South,0.66,8982.05,USD,2024-04-29,"Lake Shawnfort",0,1
82,643,"Shannon Ramirez",makaylapoole@rose-weber.com,430-877-2584,South,Medium,781,"Bank 781",North,0.79,4822.18,USD,2024-09-18,"Port Nancy",1,1
83,9,"James Lopez",bethroberts@rojas.biz,011.287.5137x958,East,Medium,537,"Bank 537",North,0.55,5831.24,USD,2024-08-02,Baileyport,1,1
84,712,"Jaime Shepard",kimmichael@yahoo.com,123-516-4935x333,North,Medium,383,"Bank 383",West,0.77,5724.24,USD,2024-03-08,Ianstad,0,1
85,685,"Mark Schultz",sheila23@brown.com,(246)971-1990,West,High,90,"Bank 90",South,0.66,6794.99,USD,2024-02-16,"West Anthony",0,1
86,431,"Sandra Mathis",christopher01@goodwin.com,840-677-4947x633,South,Medium,101,"Bank 101",West,1,5795.60,USD,2024-02-19,Colleenburgh,0,1
87,715,"Melissa Murray",jenniferroberts@gmail.com,+1-086-269-9513x512,West,Low,766,"Bank 766",East,0.67,4835.44,USD,2024-05-12,Davidhaven,1,1
88,966,"Christopher Palmer",beltranjacqueline@gregory.com,616-296-2994,North,Low,52,"Bank 52",North,0.79,8320.39,USD,2024-01-15,"North Sheila",1,1
89,161,"Timothy Moore",brownlori@hotmail.com,612.990.5106x5110,South,Medium,381,"Bank 381",North,0.66,7020.76,USD,2024-08-02,"Port Brent",1,1
90,193,"Manuel Chang",heatherjohnson@hotmail.com,526-184-6970,North,Low,803,"Bank 803",South,0.82,625.95,USD,2024-07-21,Wrightmouth,0,1
91,152,"Robert Jackson",hensonmaureen@hotmail.com,283.275.7029,North,High,739,"Bank 739",East,0.77,582.94,USD,2024-08-19,Youngville,0,1
92,438,"Robert Lowe",brookefritz@hotmail.com,(973)178-0261x2063,South,High,985,"Bank 985",South,0.91,2511.98,USD,2024-07-31,"West Jamesside",0,1
93,955,"Rachel Bell",samuelhurley@york-serrano.com,(225)425-4053,South,Low,201,"Bank 201",South,0.95,3331.77,USD,2024-11-19,Garzafurt,1,1
94,493,"Michelle Rivera",justin61@yahoo.com,(705)603-7481,South,Medium,872,"Bank 872",West,0.93,7730.80,USD,2024-09-17,Foxmouth,0,1
95,252,"Sarah Odom",zandrews@hotmail.com,+1-209-288-6101x1602,West,Medium,519,"Bank 519",East,0.82,5938.74,USD,2024-01-23,"North Kristen",1,1
96,611,"Sharon Crawford",brittney14@avila.com,(162)737-7482x4087,East,Low,812,"Bank 812",South,0.94,6738.35,USD,2024-10-28,Julianbury,1,1
97,67,"Jessica Moyer",williamsmichelle@hotmail.com,7920943978,South,Medium,560,"Bank 560",South,0.81,2719.25,USD,2024-01-23,Waltersshire,0,1
98,239,"Karen Rice",katrina77@hotmail.com,(229)152-0653,West,Medium,760,"Bank 760",East,0.71,2630.61,USD,2024-05-26,Lawrencemouth,1,1
99,34,"Jessica Bowman",gtaylor@powell-acosta.com,961.331.8598x3861,South,High,355,"Bank 355",East,0.99,9074.28,USD,2024-04-14,Samuelton,0,1
100,552,"Jerry Martinez",rosedaniel@yahoo.com,+1-359-276-8890x678,East,High,697,"Bank 697",North,0.61,9805.83,USD,2023-12-04,Harrisontown,0,1
101,150,"Benjamin Robinson DVM",howardmichael@gmail.com,001-163-971-2739,East,Medium,793,"Bank 793",South,0.82,9183.25,USD,2024-02-25,"South Alexa",1,1
102,85,"Randy Campbell",icoleman@salazar.com,838.055.2228x670,East,Low,950,"Bank 950",East,0.52,3786.84,USD,2024-05-01,"Port Clinton",1,1
103,437,"Scott Johnson",fjohnson@allen-dillon.com,511.765.2123x0420,South,Low,520,"Bank 520",West,0.82,4144.91,USD,2024-08-30,"East James",0,1
104,793,"Nathan Hernandez",armstrongadam@fitzgerald.biz,+1-780-433-2899,East,Low,804,"Bank 804",South,0.67,8028.85,USD,2023-12-01,Sarahport,0,1
105,115,"Amanda Webb",robertrowland@hotmail.com,+1-056-816-2694,West,High,356,"Bank 356",North,0.9,2313.52,USD,2024-04-05,"East Marcborough",1,1
106,173,"Debbie Clay",kimberly14@hotmail.com,+1-923-877-2404x8801,North,High,750,"Bank 750",South,0.63,9735.81,USD,2023-11-23,Solischester,0,1
107,939,"Kevin Hudson",malonepatricia@duke-austin.info,760.114.1785x14731,East,Low,622,"Bank 622",West,0.92,520.42,USD,2024-11-19,Morganville,1,1
108,669,"Sheri Schwartz",riosdiana@yahoo.com,1003995422,South,Low,113,"Bank 113",North,0.73,3150.06,USD,2024-11-14,"New Timothy",1,1
109,545,"Kimberly Moore",robertlynch@rodriguez.net,(375)939-4250,East,Low,388,"Bank 388",East,0.95,2273.83,USD,2024-07-09,Christopherhaven,1,1
110,622,"Melissa May",zachary10@yahoo.com,(194)791-9272x5161,East,High,497,"Bank 497",North,0.65,3261.11,USD,2024-09-21,"Port Jessicaville",0,1
111,636,"Brian Jones",mortonsarah@oliver.net,072-052-5293x20496,South,High,93,"Bank 93",North,0.79,8907.32,USD,2024-03-04,"New Mary",0,1
112,175,"Anthony Gonzales",alvarezcheryl@bailey.com,897.398.0669x289,South,Low,715,"Bank 715",West,0.79,2991.98,USD,2024-01-31,Jimenezchester,0,1
113,503,"Charles Willis",whitneylewis@allen.com,(362)423-2679x0834,South,High,849,"Bank 849",West,0.8,6850.81,USD,2024-06-16,Danielmouth,1,1
114,645,"Kristen Sanchez",gregorymiller@gmail.com,001-464-102-9163x775,West,Low,924,"Bank 924",South,0.59,7054.76,USD,2023-11-26,Salazarfort,0,1
115,547,"Joshua Alvarado",sara18@faulkner-williams.com,558.072.5045,South,High,802,"Bank 802",East,0.72,1138.43,USD,2024-04-09,Morrisstad,0,1
116,916,"Melissa Wagner",susan58@yahoo.com,028-846-2338x80491,West,Low,749,"Bank 749",North,0.85,4305.09,USD,2024-09-04,Ryanberg,1,1
117,271,"Valerie Robinson",christopher68@garcia-hoffman.com,342.734.6522x461,East,Low,919,"Bank 919",West,0.84,6545.82,USD,2024-01-15,"South Vanessa",0,1
118,665,"Michael Cummings",djimenez@gmail.com,0816088981,North,Medium,255,"Bank 255",East,0.99,3322.32,USD,2023-12-23,"West William",0,1
119,978,"Jeremy Hays",travis87@taylor-white.com,223.942.1745,North,Medium,675,"Bank 675",North,0.97,5689.50,USD,2024-05-06,"West Christine",1,1
120,11,"Christopher Palmer",kendra27@walker-knight.org,001-730-710-7452x072,East,Low,502,"Bank 502",East,0.66,5631.90,USD,2024-10-11,"South Derek",0,1
121,343,"Christopher Anderson",adamwarren@jones.com,+1-574-674-3982,North,Medium,1003,"Bank 1003",West,0.59,903.03,USD,2024-11-07,Mariamouth,0,1
122,196,"Cristina Goodwin",sethwalker@hotmail.com,765.212.0001,North,High,684,"Bank 684",West,0.62,9020.73,USD,2024-11-04,Pamelamouth,1,1
123,54,"Roger Allison",ashleyjohnson@dawson.org,001-367-569-8243x395,South,High,990,"Bank 990",North,1,6669.07,USD,2024-06-12,"North Robert",0,1
124,268,"Ryan Fox",brandy59@scott-west.com,(881)095-3994x808,South,High,254,"Bank 254",South,0.75,8579.15,USD,2024-08-25,"West Amandaborough",0,1
125,952,"Michael Velez",zross@smith.com,(261)284-3089x8419,North,Low,605,"Bank 605",East,0.74,663.35,USD,2024-03-15,"West Benjaminside",1,1
126,314,"Lisa Colon",lvaldez@hotmail.com,0798857202,West,Low,775,"Bank 775",South,0.93,4543.01,USD,2023-12-03,"New Cristinafurt",0,1
127,851,"Stephen Richards",charlesdustin@moore-curtis.biz,(693)086-0091,West,Medium,397,"Bank 397",West,0.91,6121.95,USD,2024-10-29,"New Tylerstad",0,1
128,143,"Mark Taylor",kelly85@weber.net,7073159635,East,Medium,441,"Bank 441",South,0.57,9480.34,USD,2024-10-06,"Lake Ashley",0,1
129,849,"Sarah Mccarty",christophergardner@gmail.com,001-177-353-2915x768,West,Low,788,"Bank 788",West,0.91,5801.69,USD,2024-10-30,"New Christy",1,1
130,536,"Matthew Cook",robin08@hotmail.com,001-405-138-5314x059,East,Low,244,"Bank 244",West,0.73,1289.07,USD,2024-11-04,"New Mollyland",1,1
131,616,"Charles Martinez",robert66@yahoo.com,+1-005-281-2220x3149,East,High,843,"Bank 843",South,0.95,9411.50,USD,2024-01-30,Walkerstad,0,1
132,562,"Kimberly Davidson DDS",richard88@baker-ross.com,001-871-686-3073x7605,South,Low,922,"Bank 922",East,0.95,3690.23,USD,2024-09-23,"New Johnborough",0,1
133,75,"David Lopez",payers@smith.com,459.282.6939x66995,East,Low,87,"Bank 87",West,0.72,6931.67,USD,2024-03-06,Owenburgh,0,1
134,802,"Sarah Roberts",eclark@barnes.biz,528-482-3816,North,Low,812,"Bank 812",South,0.94,6790.96,USD,2024-07-13,Robertview,0,1
135,839,"Andre Wilson",bryan95@sharp.info,783.210.6687,West,Medium,299,"Bank 299",South,0.97,700.83,USD,2023-12-07,"East Priscillaville",0,1
136,549,"Stacy Parker",kimberlymeadows@watson.com,587.146.2439,North,Medium,74,"Bank 74",West,0.55,5899.61,USD,2024-04-09,"New Yeseniaville",1,1
137,60,"Heather Parrish",thomas84@schroeder.biz,+1-342-386-3304x1535,West,Low,614,"Bank 614",West,0.53,2136.09,USD,2024-05-12,"East Douglasshire",0,1
138,7,"Chris Wong",fwalters@obrien.org,(353)014-2784x894,East,Low,968,"Bank 968",North,0.83,4133.14,USD,2024-06-10,"East Nicoleland",1,1
139,671,"Alyssa Quinn",wsmall@gmail.com,038.763.2050,East,High,309,"Bank 309",West,0.51,2862.95,USD,2024-09-02,"New Michael",1,1
140,899,"Robin Cox",hillcraig@dunn.com,001-783-581-9274x9166,East,High,1007,"Bank 1007",North,0.92,4093.14,USD,2024-04-21,"South Colton",1,1
141,199,"Michelle Stafford",sanchezerik@hotmail.com,(926)029-5005x328,South,Low,547,"Bank 547",North,0.92,7797.02,USD,2024-05-08,Smithshire,1,1
142,298,"Seth Shaw",michaelbauer@price.com,+1-928-535-1971x1112,West,High,991,"Bank 991",North,0.88,7764.82,USD,2024-09-22,Walshton,0,1
143,356,"Dakota Burton",sarahlane@scott.info,503.356.2809x28374,South,High,58,"Bank 58",North,0.66,9319.83,USD,2024-10-25,Fosterville,0,1
144,248,"Thomas Rodriguez",harrisoncaleb@yahoo.com,802.329.9125x212,East,Medium,765,"Bank 765",South,0.79,6183.03,USD,2024-02-29,Johnsonhaven,1,1
145,867,"Eric White",cindy47@morgan.com,953.620.4905x8376,West,Medium,483,"Bank 483",South,0.6,1524.59,USD,2023-12-01,"Port Charles",0,1
146,965,"Margaret Gomez",patricia24@blair-jennings.org,445.652.0719x618,West,High,961,"Bank 961",South,0.87,26.65,USD,2024-04-01,"Lake Hannah",0,1
147,930,"Haley Harris",michaelstevens@simmons.com,970.198.2648,East,High,986,"Bank 986",West,0.92,1591.87,USD,2024-06-06,Mcdanielland,1,1
148,431,"Sandra Mathis",christopher01@goodwin.com,840-677-4947x633,South,Medium,525,"Bank 525",South,0.67,6655.74,USD,2024-05-28,"Lake Amandaside",1,1
149,93,"Jeff Thomas",vmorgan@gutierrez.com,698-761-5978x3303,West,Low,680,"Bank 680",West,0.95,9593.95,USD,2024-11-05,Jamesshire,0,1
150,841,"Hailey Miller",jasonschwartz@rodriguez-phillips.biz,(306)843-1747x77831,North,High,328,"Bank 328",West,0.74,7183.23,USD,2024-01-13,"New Elijahfurt",0,1
151,585,"Wesley Wallace",brendamoran@gmail.com,5585952792,North,High,871,"Bank 871",West,0.7,8389.31,USD,2024-04-19,Michaelhaven,1,1
152,174,"Anthony Taylor",mckenziepayne@gmail.com,709-550-2288,South,Medium,134,"Bank 134",North,0.59,1884.82,USD,2024-11-18,Kimton,1,1
153,424,"Bobby Franklin",bstanton@gmail.com,(075)466-0319x67846,West,High,485,"Bank 485",East,0.61,9019.90,USD,2024-01-16,"North Shawnmouth",0,1
154,809,"Melissa Carroll",linda70@williams.com,632-833-6420,South,High,751,"Bank 751",West,0.5,8457.56,USD,2024-10-31,Holtberg,1,1
155,785,"Curtis Davis",brittany82@thomas.com,8777251507,North,Low,167,"Bank 167",West,0.87,4329.02,USD,2024-07-17,Josephfurt,1,1
156,559,"Kathryn Rice",origgs@yahoo.com,001-954-043-0044x86154,North,High,49,"Bank 49",South,0.89,8011.53,USD,2024-04-12,Josephton,1,1
157,201,"Sheena Sullivan",imarks@rowe.com,+1-794-552-4385x69153,East,Medium,87,"Bank 87",West,0.72,2103.30,USD,2024-08-23,Steelemouth,1,1
158,136,"Raven Rogers",megan99@golden.net,+1-356-141-8725x3102,East,Medium,60,"Bank 60",South,0.95,5139.22,USD,2024-07-07,"North Charlesburgh",0,1
159,120,"Melinda Rodriguez",andrewraymond@kirby.org,965.347.9719x27607,East,Low,654,"Bank 654",South,0.58,4025.26,USD,2024-04-29,"New Cristian",1,1
160,822,"William Thompson",joanna10@smith.biz,100-937-4621x167,South,Medium,955,"Bank 955",North,0.54,251.09,USD,2024-11-07,Matthewville,1,1
161,118,"Amanda Walker",owelch@ruiz.com,(117)075-9410x39339,East,Medium,237,"Bank 237",North,0.88,9383.67,USD,2024-07-31,"South Johnnyton",0,1
162,958,"Marcus Little",bennettkatie@wilson-wise.net,640.981.2151x94948,North,Low,393,"Bank 393",West,0.82,1077.90,USD,2024-08-16,"Port Heatherton",0,1
163,169,"Nathan Velasquez",johnhernandez@yahoo.com,(365)392-7782,East,Medium,215,"Bank 215",North,0.94,1995.04,USD,2024-01-22,Christinahaven,0,1
164,1,"Anthony Smith",pcarter@hotmail.com,243.751.6176x2665,West,Medium,10,Hill-Thomas,West,0.69,5185.75,USD,2024-02-18,"Port Danielshire",0,1
165,625,"Lindsey Clark",mariewells@hotmail.com,(108)856-9471,West,Medium,230,"Bank 230",North,0.56,8845.40,USD,2024-06-17,"South Ryan",1,1
166,208,"Robert Cameron",richard84@wilson.biz,480.295.1133x065,West,High,999,"Bank 999",East,0.76,4210.36,USD,2023-12-24,Gordonfort,0,1
167,776,"Scott Hudson",pmarshall@jackson-alvarez.org,+1-155-310-0179x35737,North,Low,308,"Bank 308",West,0.99,2158.33,USD,2024-10-02,"West Aaronchester",0,1
168,626,"Deborah Harris",castrochristopher@yahoo.com,692.019.1361x175,East,Low,1003,"Bank 1003",West,0.59,4136.61,USD,2024-07-02,"Port Johnmouth",1,1
